id,option_type,entry_price,entry_time,exit_price,exit_time,quantity,dte,strike,delta,qsci,implied_vol,pnl,pnl_after_fees,total_fees_paid,rolled_count,status,multi_tf_score,sentiment_score,regime,trade_return
1949,CALL,672.5571637652411,2021-05-27T11:00:00,540.0242997300611,2025-12-06T11:39:02.106786,1,13.833333333333334,40700,0.32104460247938293,0.29241223860051513,0.3501662195456401,-132.53286403517995,-145.50748569457969,12.974621659399734,0,CLOSED,0.24637672431795044,0.10696904723978357,train,-0.21634961834317729
1950,PUT,609.498295800895,2021-05-28T05:00:00,628.3583414847726,2025-12-06T11:39:02.114398,1,13.833333333333334,36000,-0.3435836044089895,-0.3567333218630041,0.3660131482982423,18.860045683877615,5.614979664920972,13.245066018956644,0,CLOSED,-0.18739483990073105,-0.38465866380683383,train,0.009212461632140836
1951,PUT,775.8559409716436,2021-05-28T11:00:00,448.3160481659309,2025-12-06T11:39:02.117192,1,13.833333333333334,34400,-0.2248838597391145,-0.37251683958269644,0.4492695833514827,-327.53989280571267,-340.6385330894847,13.098640283772047,0,CLOSED,-0.2814893883402588,-0.3981951071382102,train,-0.43904868816611226
1952,PUT,829.7310577099961,2021-05-28T17:00:00,742.4531281092732,2025-12-06T11:39:02.119944,1,13.833333333333334,35100,-0.3421671481915928,-0.21590968867687194,0.4403106466175757,-87.27792960072293,-104.10030038898911,16.82237078826618,0,CLOSED,-0.2292167487443853,-0.3997824189033059,train,-0.1254627019462176
1953,PUT,870.5125296225451,2021-05-29T14:00:00,940.9834382866466,2025-12-06T11:39:02.127734,1,13.833333333333334,33700,-0.3909035742127702,-0.2729756504552431,0.48238210054611497,70.47090866410144,51.087901807473095,19.38300685662835,0,CLOSED,-0.16953853252081935,-0.32021926609393614,train,0.05868715276232135
1954,CALL,765.838819155666,2021-05-30T08:00:00,804.3004121228641,2025-12-06T11:39:02.133010,1,13.833333333333334,36600,0.41291139986186387,0.36316008858398563,0.40389710692593184,38.46159296719816,21.661103192517885,16.800489774680273,0,CLOSED,0.1479625125540664,0.30601098443298835,train,0.02828415412057482
1955,PUT,469.93738408711215,2021-05-31T02:00:00,541.7379467471146,2025-12-06T11:39:02.138298,2,13.833333333333334,33800,-0.3579287806367808,-0.2799504974426884,0.32049331117343793,143.60112532000494,122.00157450427533,21.599550815729614,0,CLOSED,-0.2070890772397127,-0.2252383076700812,train,0.1298062025234195
1956,CALL,517.7853488954206,2021-05-31T17:00:00,424.05545577308476,2025-12-06T11:39:02.142973,2,13.833333333333334,37900,0.309174585714616,0.26456888575705806,0.3088500810117232,-187.4597862446717,-206.95893985579767,19.49915361112597,0,CLOSED,0.21827381119276174,0.37840139189009964,train,-0.19985013123420578
1957,CALL,454.96659172600084,2021-05-31T23:00:00,669.1227594706163,2025-12-06T11:39:02.145690,2,13.833333333333334,38200,0.4397939640290048,0.3318907589225889,0.2864431395796965,428.3123354892309,406.4851603483911,21.8271751408398,0,CLOSED,0.24491198360877328,0.3101933100784129,train,0.44671978969523196
1958,CALL,493.37958313631134,2021-06-01T05:00:00,393.80583815630496,2025-12-06T11:39:02.148229,2,13.833333333333334,38200,0.2929978938154499,0.22690632066665664,0.30106975364727684,-199.14748996001276,-217.0748404868605,17.92735052684773,0,CLOSED,0.20027411039830106,0.17244317305331092,train,-0.21998766052190577
1959,CALL,358.50414696374355,2021-06-02T14:00:00,408.0773287506345,2025-12-06T11:39:02.161692,3,13.833333333333334,38900,0.33782115241115634,0.41217412205976167,0.252424877317054,148.71954536067278,128.72536651917966,19.994178841493138,0,CLOSED,0.29953415097154235,0.3953683475516663,train,0.1196874732685663
1960,CALL,345.6471728618453,2021-06-03T05:00:00,388.9044290335587,2025-12-06T11:39:02.168158,3,13.833333333333334,39900,0.3228879323002192,0.3698450337787482,0.25,129.77176851514014,112.42362802000575,17.348140495134388,0,CLOSED,0.3551669318984831,-0.050206800420895696,train,0.10841848455770177
1961,CALL,400.2490897407679,2021-06-03T11:00:00,471.95897162032634,2025-12-06T11:39:02.170944,2,13.833333333333334,39700,0.3706911826299802,0.2354910682921165,0.25,143.4197637591169,129.54666903069474,13.873094728422164,0,CLOSED,0.22888678560739759,0.34703362013728206,train,0.16183255921281312
1962,CALL,373.1511425742883,2021-06-03T17:00:00,299.84164670649625,2025-12-06T11:39:02.173676,3,13.833333333333334,39800,0.26827329776487613,0.276495886393162,0.25,-219.9284876033762,-236.30389783019464,16.37541022681844,0,CLOSED,0.21604443233364035,0.1155470632200907,train,-0.211088636631246
1963,CALL,397.6363423206949,2021-06-03T23:00:00,239.25103131053584,2025-12-06T11:39:02.176427,2,13.833333333333334,40200,0.2252202905943363,0.24670604098432947,0.25,-316.7706220203181,-326.5172091336899,9.746587113371804,0,CLOSED,0.29675066418369433,-0.07812609106552607,train,-0.41057264437659574
1964,PUT,438.3588617880905,2021-06-04T05:00:00,410.7079349421492,2025-12-06T11:39:02.179162,2,13.833333333333334,35800,-0.3020722812897706,-0.2722098108085774,0.28964009389215073,-55.30185369188257,-71.92549505709135,16.62364136520879,0,CLOSED,-0.1608809522638743,-0.324284295715388,train,-0.08203951297311887
1965,PUT,474.98680757188595,2021-06-05T14:00:00,296.37154186823824,2025-12-06T11:39:02.189053,2,13.833333333333334,34700,-0.219865111015894,-0.36651941439114666,0.3203125835283735,-357.2305314072954,-373.6470350809416,16.416503673646176,0,CLOSED,-0.22866933798328076,-0.3063004317684024,train,-0.39332359249197957
